Season,Metric,Values
Summer,precision,"[0.2520497596833475, 0.2289557620302316, 0.23013513513513514, 0.23552976930515265, 0.23514783089251173, 0.23261291216403435, 0.22784114332829464, 0.23927302541678055, 0.23252633018738886, 0.23479218276906139, 0.2328129279649411, 0.2441366067754766, 0.2328042328042328, 0.23602225312934633, 0.23668230747998895, 0.23293727549046697, 0.2424958310172318, 0.24195108470360646, 0.23807565789473684, 0.24420677361853832, 0.23931858771809314, 0.2461327857631759, 0.23431936455765542, 0.23991093793487336, 0.23647433236474333, 0.23842171540506507, 0.23295766904892798, 0.23842917251051893, 0.2328407678497445, 0.2398190045248869, 0.24185154752122706, 0.23759109033411246, 0.22970159611380986, 0.23691384950926936, 0.23106582208757917, 0.24121649770865158, 0.24176575099084324, 0.24472807991120976, 0.23487051654895444, 0.23887079261672095, 0.23092955398082535, 0.2297278436845778, 0.2253850385038504, 0.24365342163355408, 0.23615679824561403, 0.233597994149603, 0.2375896304467733, 0.23119967244438377, 0.2363013698630137, 0.23219392618820645, 0.23722275795564127, 0.24267725157404874, 0.2286896551724138, 0.23522133626615344, 0.2312814241065362, 0.2420602043634355, 0.23957481602616518, 0.24064543051884824, 0.22641509433962265, 0.23971377459749552, 0.2373961218836565, 0.22870706506562413, 0.24133129090655897, 0.2318761878903068, 0.24453253143794423, 0.23584258878376527, 0.24113475177304963, 0.2331967213114754, 0.23100095851020128, 0.24299065420560748, 0.23688524590163934, 0.2321729365524986, 0.23798374879493184, 0.2395416263979014, 0.23702781237027812, 0.2337217272104181, 0.2268619934282585, 0.23049932523616734, 0.23302980132450332, 0.23561002478656018, 0.2331993903283913, 0.2456861133935908, 0.24574439340718723, 0.22257354962881495, 0.23764575235980012, 0.22761655893274652, 0.23416932243314398, 0.2344884262429804, 0.23258110014104372, 0.23422809647090884, 0.22844530280038627, 0.24205748865355523, 0.23984236988721294, 0.23920446805612314, 0.2335928809788654, 0.24280750521195274, 0.22954671088999448, 0.2269669092406975, 0.23984418475236505, 0.24766671175436222]"
Summer,recall,"[0.6122939560439561, 0.5986221899927484, 0.6148014440433213, 0.6128684399712437, 0.6177858439201452, 0.5930766513599435, 0.5921428571428572, 0.6172012689460697, 0.6123919308357348, 0.6237659963436929, 0.6088825214899714, 0.6178410274210344, 0.6233200145296041, 0.6193430656934307, 0.5971448467966574, 0.6110909749909388, 0.6142203449489616, 0.6218039772727273, 0.6383682469680264, 0.6143497757847534, 0.6153302719886966, 0.6286713286713287, 0.6145833333333334, 0.6183644189383071, 0.5998595998595999, 0.6142754145638067, 0.6174863387978142, 0.6282335550628233, 0.6, 0.6028955532574974, 0.6079173838209982, 0.6178047908473364, 0.5925528105979234, 0.6189458689458689, 0.6022972002871501, 0.6094736842105263, 0.6266383280198371, 0.6189473684210526, 0.6087580760947595, 0.6305983518452167, 0.6052439912600146, 0.6024890190336749, 0.6104283054003724, 0.625797306874557, 0.6109929078014185, 0.598074179743224, 0.6107763204537399, 0.616448326055313, 0.6050508593475973, 0.6024734982332155, 0.6196473551637279, 0.631185475258099, 0.5942652329749104, 0.6037402964008468, 0.6223034734917733, 0.6166021807949349, 0.6164095371669004, 0.6087262491203378, 0.6022140221402214, 0.6135963367382882, 0.6097474208466738, 0.6084695393759286, 0.5945111492281303, 0.6128453534266236, 0.6239972096267876, 0.6075591663723066, 0.6155484558040468, 0.6187024284160928, 0.6050932568149211, 0.6194814295725298, 0.613588110403397, 0.6036496350364964, 0.6290498725882782, 0.6085584005612066, 0.6144189383070301, 0.6130888169723121, 0.6164434523809523, 0.6174981923355025, 0.6211842589187201, 0.610417409917945, 0.5972320794889993, 0.6209761163032191, 0.6259463179628355, 0.6036539895600298, 0.6116470167917113, 0.6035740335521517, 0.6123188405797102, 0.614721723518851, 0.607814227792112, 0.6097907059240866, 0.5991316931982634, 0.6171107994389902, 0.6348920863309353, 0.6191819464033851, 0.6021505376344086, 0.6306859205776173, 0.6142751479289941, 0.5989130434782609, 0.6128688233202986, 0.6264112213479303]"
Summer,f1,"[0.35709993991588224, 0.3312268030895777, 0.33490658800393314, 0.3402854006586169, 0.340638446912839, 0.3341626032441039, 0.3290661903344249, 0.3448547513540128, 0.3370675126400317, 0.3411658834116588, 0.3368337626312661, 0.34998033818324814, 0.33899644409324375, 0.3417925478348439, 0.3389998023324768, 0.33730119035710715, 0.3477134601972701, 0.34835372525614244, 0.3468104222821204, 0.3494897959183674, 0.34460929772502474, 0.35376291195277915, 0.33928217330953797, 0.3456988169240024, 0.3392219134577213, 0.34351375869368006, 0.3382895918571001, 0.34566897112647416, 0.33548900606904786, 0.3431430253090053, 0.34603703340844516, 0.34319761668321747, 0.3310662132426485, 0.3426656151419558, 0.3339968152866242, 0.34563725002487317, 0.34891518737672583, 0.3507655597534301, 0.3389627260917358, 0.3464907963382223, 0.3343055415870462, 0.3326260482974639, 0.32921562719694686, 0.3507447864945382, 0.3406484776591538, 0.3359711509566263, 0.34210265065025314, 0.33627791563275433, 0.3398679933011526, 0.33520102231396837, 0.34309623430962344, 0.35056846267918934, 0.33027888446215137, 0.33854372774040364, 0.3372300376461264, 0.3476450173525037, 0.3450441609421001, 0.3449307147841691, 0.3290986085904416, 0.3447456956263606, 0.34174060412720564, 0.3324538258575198, 0.3433042789223455, 0.33645228011425193, 0.3513699302759501, 0.3397866455946266, 0.34652278177458035, 0.33872407976981844, 0.3343573481319988, 0.34906219151036527, 0.34180958013010054, 0.3353609083536091, 0.34532374100719426, 0.34376857539132155, 0.3420868696954568, 0.3384279475982533, 0.33166533226581263, 0.3356918238993711, 0.33891843082171164, 0.3399900645802285, 0.33542600896860986, 0.352075360612305, 0.352929763290648, 0.32523101647247893, 0.34229731080675796, 0.3305702586637371, 0.3387791921419264, 0.3394804679754115, 0.3364276241966745, 0.338452451269935, 0.33076999900129833, 0.3477230070137311, 0.34816056810336327, 0.3450918738331532, 0.33660589060308554, 0.350627195183141, 0.33420523138832997, 0.32918450662152743, 0.3447655234476552, 0.35498255137650253]"
Summer,ba,"[0.6870446909699341, 0.6750152888620632, 0.6799738632939162, 0.6825867578067659, 0.6851502423588387, 0.6723065040319207, 0.6702203266183736, 0.6837071988379113, 0.6806590046160059, 0.6877148798994805, 0.6790158622137301, 0.6850388430725637, 0.6852686970864461, 0.6869722833828125, 0.6742914598894306, 0.6814229746405622, 0.6847971984584147, 0.6879416156759907, 0.6951159183329174, 0.6831703884548064, 0.6834781714763382, 0.6906606733187761, 0.6821573783945092, 0.6869132266611306, 0.6760689694023028, 0.6853703694742971, 0.6840503770489361, 0.6930087393478093, 0.6755265752442412, 0.6767121423759476, 0.6793806280912453, 0.684725390004221, 0.6720096908661105, 0.6840472309418357, 0.6761597918348634, 0.6820826264277917, 0.6889301231597325, 0.6872684224703809, 0.6807108493106979, 0.6897450631746569, 0.6789514263208645, 0.6780085323821465, 0.6796960814848914, 0.6899948779911302, 0.6805637064114696, 0.675784401699569, 0.6814362255095674, 0.6823526935961227, 0.6773739009170079, 0.6747901715621087, 0.6859257138315842, 0.691617832856475, 0.6719423236603754, 0.6770832482452867, 0.6848173761223662, 0.6851243927627113, 0.682935372031726, 0.6818651441275327, 0.6767204669459026, 0.6828358618849619, 0.6814927217620184, 0.6811070949376077, 0.6746025960918445, 0.6797718283451335, 0.687835420197318, 0.6787851903274084, 0.6854583629269035, 0.6838649633696829, 0.676830296029237, 0.6860765926488603, 0.6815361845406527, 0.6796393278827944, 0.690893529045625, 0.680631734739365, 0.683776446230879, 0.6814493003986118, 0.6823748729189483, 0.6812332181822427, 0.6865349993544727, 0.6808639175390541, 0.6745686982220394, 0.6866292769508, 0.6873317871207643, 0.6758355501672353, 0.682822388575027, 0.6763290594889702, 0.6825902913326023, 0.682265736641918, 0.6825158328287231, 0.6789146311507902, 0.6744987625204197, 0.6848350333401847, 0.6922670241894562, 0.684299336446488, 0.6776759673038166, 0.6934855745860262, 0.6828066194595908, 0.6735845846974564, 0.6839836026421762, 0.687940982954493]"
Summer,auc,"[0.766635430457351, 0.7570736965625009, 0.7577424016377107, 0.7592646108360195, 0.7644468431202471, 0.7529101320594859, 0.7526410717485346, 0.7618596690189866, 0.7552452004937358, 0.7648658100662027, 0.7550581431453549, 0.7611959648689948, 0.7680489745924014, 0.7674735407981719, 0.7564154588213909, 0.7598243157952993, 0.7704659382776069, 0.7678142625148744, 0.7706918304488248, 0.7661214700697769, 0.7649970449910042, 0.7683084533594324, 0.7647724334732813, 0.7624912305166842, 0.7525886216795308, 0.765758408616927, 0.7642435567888222, 0.7712100738392764, 0.7558572455190669, 0.7559279453140546, 0.7603522949726161, 0.7637869622064821, 0.7595814994730761, 0.7605646958297523, 0.7553586428490764, 0.7617791965772382, 0.7650741299563821, 0.7645347655751572, 0.7590485426634341, 0.7663909153464746, 0.759015363843521, 0.7555783541052363, 0.7595398839626705, 0.7657661934830429, 0.7601789139371369, 0.7573915783391877, 0.7607730391342606, 0.7595629239115105, 0.7578945700795884, 0.755765562744702, 0.7644118279610586, 0.765905578457005, 0.7517267820283329, 0.7624073965020661, 0.7614221138726799, 0.7616586488919712, 0.7616801950587206, 0.7621156671242604, 0.7553681525483052, 0.7633565557715096, 0.7588774216982113, 0.7676118036375545, 0.7538434768344112, 0.7584556952789863, 0.7657349061763336, 0.7609120197666723, 0.7638386074696917, 0.7618053696914685, 0.7560862558735144, 0.7642595382086887, 0.7592356878331514, 0.7593838045162603, 0.7621998275278068, 0.7586956053751097, 0.7632546219882181, 0.7588120619449473, 0.7569398126628972, 0.7574728872963632, 0.7616210210919563, 0.7594442666670589, 0.7589359707232335, 0.7691656658791911, 0.7683778310859104, 0.7545113309237413, 0.7646371544468569, 0.7552703175763633, 0.7613035005145432, 0.7611485994777873, 0.7617006833254489, 0.7599704712927672, 0.7552025110738889, 0.7629705497553643, 0.7721404374888918, 0.7630069296715292, 0.7517735788981423, 0.7713803391376501, 0.7605871336085174, 0.7520720250454276, 0.7667906404635132, 0.7614031988986019]"
Autumn,precision,"[0.2793993588662055, 0.27723604572965704, 0.2911305541259221, 0.2915512465373961, 0.2844383373411199, 0.27744334277620397, 0.2835871983570084, 0.2833475661827498, 0.2867937489266701, 0.28027976799727056, 0.2827075265196161, 0.2828096118299446, 0.2795644891122278, 0.27739553616378587, 0.2877061724196565, 0.2927570487928415, 0.27573405332433343, 0.2796409214092141, 0.29026788741946424, 0.296133716022286, 0.28382007385028535, 0.27842809364548493, 0.28330464716006887, 0.292239010989011, 0.29145122371596, 0.2833534171113789, 0.2868683396356136, 0.29301302656064965, 0.2889239950851325, 0.27807122167319814, 0.2804713804713805, 0.2805490458654168, 0.2736716621253406, 0.28363131400798475, 0.29297945205479453, 0.2981525829627095, 0.2886859462201928, 0.28348749571771154, 0.285, 0.2875871224692997, 0.28354472630173566, 0.29611980939414567, 0.2793191489361702, 0.27487583490323686, 0.29313858695652173, 0.2802142618011383, 0.28816953111963955, 0.28713721449424695, 0.28785857238158774, 0.28711717709720375, 0.28205128205128205, 0.2860524091293322, 0.28513307340227156, 0.283920894239037, 0.29486312943562015, 0.2849820604818042, 0.2727892315556313, 0.29245923913043476, 0.2846678023850085, 0.28663282571912013, 0.2877374784110535, 0.28712348071164345, 0.29407839866555463, 0.289810547875064, 0.2893962982183013, 0.2985482493595218, 0.2864783553401304, 0.29486963835155594, 0.2797476986021139, 0.2928841526297697, 0.27732656514382403, 0.27968428277282087, 0.2914362326127032, 0.2761270491803279, 0.2896409551623432, 0.287538304392237, 0.29135338345864664, 0.28330464716006887, 0.28374468085106386, 0.29456167438668723, 0.2830789870870367, 0.29035657825399613, 0.2800745509996611, 0.28428036747192925, 0.2920741989881956, 0.27913372292884153, 0.28422491881729617, 0.2891813365236712, 0.2692501258178158, 0.287243077968405, 0.2825119780971937, 0.2762619372442019, 0.2921697136943774, 0.2849563580352559, 0.2823765020026702, 0.2846036842994761, 0.28598099117447384, 0.2753770547364853, 0.29439409197717353, 0.28644240570846075]"
Autumn,recall,"[0.573208722741433, 0.5672514619883041, 0.5837633298933609, 0.5729840081660429, 0.5692677896184256, 0.5490539593552908, 0.5745492371705964, 0.5792597765363129, 0.58107167710508, 0.5750787539376969, 0.5748031496062992, 0.5722543352601156, 0.5688479890933879, 0.5620537232233934, 0.5854671280276816, 0.5803212851405622, 0.5775892541534111, 0.570687867265814, 0.571810287241149, 0.5870147255689424, 0.5841105354058722, 0.5827791389569479, 0.5733194009056078, 0.583876500857633, 0.5809000343524562, 0.5745200698080279, 0.5833624606780846, 0.5808182427900738, 0.5747206703910615, 0.5718290119131044, 0.5699623674307218, 0.5837687216997561, 0.5638596491228071, 0.5723292469352014, 0.5841584158415841, 0.5928571428571429, 0.5737815126050421, 0.5821315511783327, 0.5703933747412008, 0.5992392807745505, 0.5885001731901628, 0.5918367346938775, 0.5869098712446352, 0.5665372396752559, 0.5805583585603767, 0.5740740740740741, 0.5880149812734082, 0.5641025641025641, 0.587874659400545, 0.5857385398981324, 0.5765359250260327, 0.5806451612903226, 0.5670937289278489, 0.5809289232934554, 0.5869492095526404, 0.5828092243186582, 0.5528314917127072, 0.5970873786407767, 0.5766045548654244, 0.5931372549019608, 0.5643631436314364, 0.57475317348378, 0.5990485898742779, 0.5867311679336559, 0.5723571672938762, 0.5905405405405405, 0.5910344827586207, 0.5890456989247311, 0.5709812108559499, 0.5788043478260869, 0.5799716914366596, 0.5705285264263213, 0.600898410504492, 0.5789473684210527, 0.5770020533880903, 0.5913865546218487, 0.5694722778891116, 0.5810095305330039, 0.5828671328671329, 0.5900343642611684, 0.5968882602545968, 0.5672614962251201, 0.5781741867785939, 0.5840615169521146, 0.5921367521367521, 0.5732439110483586, 0.5693255734337556, 0.5808444902162719, 0.5693508336289465, 0.5883785664578984, 0.5772727272727273, 0.5654450261780105, 0.5849447513812155, 0.5827791389569479, 0.5909884736290604, 0.5849253212921153, 0.5794360385144429, 0.5656108597285068, 0.5931687521136286, 0.5758196721311475]"
Autumn,f1,"[0.37568058076225047, 0.37244494635798986, 0.388507326007326, 0.38646012621916237, 0.37933799106631544, 0.3686191484356622, 0.3797410335739659, 0.3805482280077991, 0.3840404737265724, 0.3768780823488932, 0.3790067720090293, 0.3785425101214575, 0.3748876909254268, 0.3714606741573034, 0.3858168965910386, 0.3891819099988778, 0.3732724157624215, 0.3753552347391156, 0.38506522717049035, 0.3936707440242397, 0.3820173952332543, 0.3768247142695485, 0.3792189839880198, 0.3895182515161918, 0.38815562951910937, 0.3795250172930597, 0.38460652148865077, 0.3895198470707298, 0.3845345169956781, 0.374183193855325, 0.37594493963669184, 0.3789711701526286, 0.368493464801651, 0.37929433611884866, 0.3902383396054282, 0.39676758479399044, 0.38411341134113414, 0.38129247782513537, 0.38008737640836976, 0.38865216416236825, 0.3827007545894808, 0.39473684210526316, 0.3785030561642256, 0.3701568265682657, 0.3895722830380318, 0.3766029246344207, 0.38678611422172454, 0.3805621941504495, 0.3864755933721451, 0.38534569418072157, 0.3787913340935006, 0.38328236493374107, 0.37946982515510436, 0.38142543606330137, 0.39253177370374537, 0.3827882960413081, 0.3653166001140901, 0.39261285909712723, 0.3811587591240876, 0.3864932694501483, 0.38114847860901396, 0.3829437331140608, 0.3944954128440367, 0.3879812635667771, 0.3844209558823529, 0.39659671015314807, 0.3859056625014072, 0.3930052684676606, 0.37551487414187645, 0.38895229399680437, 0.37522893772893773, 0.37535981577432354, 0.3925064891095813, 0.3739160596600763, 0.3856799725494681, 0.38694158075601376, 0.3854849649559123, 0.38088626634270506, 0.3816828849456211, 0.39295113857420755, 0.38402912069161643, 0.3841059602649007, 0.3773541833124073, 0.3824236182629592, 0.3911914172783738, 0.3754479250953647, 0.3791609667122663, 0.3861250570515746, 0.36560364464692485, 0.38602899212418673, 0.37936580882352944, 0.37117653797685873, 0.3896940418679549, 0.38275862068965516, 0.38215697346132127, 0.3829013187812642, 0.38295454545454544, 0.3704125826304992, 0.39349411104879417, 0.382573179033356]"
Autumn,ba,"[0.6891685809263126, 0.6854705640915537, 0.6975394575399496, 0.6929263572178822, 0.6895067084366504, 0.6815741735551963, 0.691799753153312, 0.6940141741126555, 0.695856830710118, 0.6914302148202311, 0.6900746385454388, 0.6885282652746954, 0.6861019389504979, 0.6825589905849416, 0.697164117034465, 0.694161925914309, 0.6911470864660672, 0.6883010823574085, 0.6899487893201894, 0.6979669832813087, 0.6946840842790851, 0.6930935195445362, 0.6917429008175178, 0.6977899703137007, 0.6965701359248009, 0.6923919796649638, 0.6971494463335741, 0.6946659029199636, 0.6950487865673292, 0.6894084928370187, 0.6873254692337999, 0.6939130820716697, 0.6848037542389405, 0.6921597945304224, 0.6977106930421524, 0.7026071134572918, 0.6905598507095569, 0.6958374370197542, 0.6905508958789078, 0.7016685588868645, 0.6963213489701898, 0.7013423131989465, 0.6972713826918315, 0.6869231048874618, 0.6949647469987794, 0.6888186724870142, 0.6964721666621283, 0.6870279325411639, 0.696315016028576, 0.6949094327961455, 0.691848350198307, 0.6938718223773008, 0.6870038241708842, 0.6956729846844257, 0.6979082602519764, 0.6960482505114982, 0.6790172976591833, 0.7035249866472746, 0.6924697048564843, 0.7005321809817321, 0.6878281353738769, 0.6952737191952354, 0.7027397731423257, 0.698417610253794, 0.6923157677624616, 0.7012713688695562, 0.6980781835869247, 0.6985081907358424, 0.6891701604161201, 0.6953119717357495, 0.6928293398038621, 0.6896334827675823, 0.7039723888959115, 0.6931896702187942, 0.694025610865129, 0.7003629811833617, 0.689673787945106, 0.6957521142857528, 0.6955618813884556, 0.7011187531937921, 0.7011877828709512, 0.6913595988342849, 0.6922857082341505, 0.6961774889385772, 0.7001404020269703, 0.6911866485565372, 0.6889808127621142, 0.6954375468027416, 0.6856168822258526, 0.6985299726325604, 0.6931064265179822, 0.6860085984998798, 0.6988165107887365, 0.6962143906548373, 0.6975131038791977, 0.6959378282476447, 0.6936590184352286, 0.6853267447778539, 0.7003786000487591, 0.6919229999745233]"
Autumn,auc,"[0.7808487188354478, 0.7739816654917604, 0.7828806523390455, 0.7815145905184818, 0.779870688376923, 0.7741199950047093, 0.7802299566449248, 0.7770202496143973, 0.7816020362679814, 0.7759301309636988, 0.7809156700273449, 0.7754784020176357, 0.7746239788140854, 0.7705933826416047, 0.7855194905872122, 0.7783516272441494, 0.78292437964926, 0.7779286386732285, 0.7803405959176744, 0.7818179706941555, 0.7779798854984787, 0.7795416150141418, 0.7804314971635345, 0.7859506005624467, 0.7852131935083507, 0.7794617613649425, 0.7835713493323089, 0.7864412925500215, 0.7846803234173996, 0.7786510952864478, 0.7769238244588452, 0.7792712819461127, 0.7766067701591381, 0.7769915655957493, 0.7853682729381203, 0.7832697969885841, 0.7749081966165606, 0.7803527017082691, 0.7785128140477784, 0.7864464931504532, 0.781242659132003, 0.7857505299750926, 0.7822121025103039, 0.7752841873821044, 0.7815110340766867, 0.7750120943913983, 0.7836413573111305, 0.7757027960962679, 0.7845789897947869, 0.7747402188965333, 0.7796623495975085, 0.7845265163319375, 0.7771807978209697, 0.781862114975167, 0.7834210392810088, 0.7754660917581198, 0.7717400225936843, 0.7822675521749599, 0.776915145372965, 0.7817441201993326, 0.7715949394267897, 0.786889377616483, 0.7868554355468067, 0.7831482365978331, 0.7827695337232536, 0.7874935049028706, 0.7818952924250009, 0.7856682594978794, 0.774857499063024, 0.7846200617857868, 0.7812661272198169, 0.7737236843618115, 0.7883289377274127, 0.7817112642923023, 0.7833981921477329, 0.7865850417615794, 0.775887630141388, 0.7808908500788335, 0.7820543224660148, 0.7887481684740234, 0.7883382208877259, 0.7786496676578264, 0.7782710432186364, 0.7832966006258377, 0.7852662556634038, 0.7744963096817359, 0.777684125345702, 0.7805897591144422, 0.7799018843618984, 0.7837266680932308, 0.7821389070694184, 0.7709224158426458, 0.7842705735542942, 0.7847828276875597, 0.7816557358968141, 0.7805320356870161, 0.7785661839944935, 0.7725048132139412, 0.7837218741795167, 0.778237915037538]"
